ชื่อกลุ่ม,xxxxxxx,,,,
เกณฑ์การให้คะแนนโครงงาน (100 คะแนน),,,,,
ส่วนที่ 1: การนำเสนอและสไลด์ (30 คะแนน),,,,,
,,,,,
หัวข้อการประเมิน,ดีมาก (9-10),ดี (7-8),พอใช้ (5-6),ต้องปรับปรุง (0-4),คะแนนที่ได้ 
1.1 ความครบถ้วนของเนื้อหา (10 คะแนน),นำเสนอเนื้อหาครบถ้วนทั้ง 13 หัวข้อตามที่กำหนดอย่างชัดเจนและมีลำดับที่ดี,นำเสนอเนื้อหาเกือบครบถ้วน อาจขาดหัวข้อย่อย 1-2 หัวข้อ,นำเสนอเนื้อหาขาดไปหลายหัวข้อ และการเรียงลำดับยังสับสน,นำเสนอเนื้อหาไม่ครบถ้วนอย่างยิ่ง ขาดองค์ประกอบสำคัญจำนวนมาก,
1.2 คุณภาพการนำเสนอ (10 คะแนน),สไลด์สวยงาม อ่านง่าย สื่อสารเข้าใจง่าย ใช้เวลาเหมาะสม พูดฉะฉานและแสดงความเข้าใจในโปรเจคอย่างลึกซึ้ง,สไลด์อ่านง่าย เนื้อหาดี แต่อาจมีบางส่วนที่อธิบายเร็วหรือช้าเกินไป,สไลด์มีข้อมูลมากเกินไป หรือน้อยเกินไป การพูดติดขัดบ้าง ขาดความมั่นใจ,สไลด์ไม่น่าสนใจ อ่านยาก พูดวกวน ไม่สามารถสื่อสารให้ผู้ฟังเข้าใจได้,
1.3 การตอบคำถาม (10 คะแนน),ตอบคำถามได้ตรงประเด็น ชัดเจน แสดงให้เห็นถึงความเข้าใจในโครงงานและหลักการที่เกี่ยวข้องอย่างแท้จริง,ตอบคำถามได้ถูกต้องในภาพรวม แต่อาจมีรายละเอียดบางส่วนที่ยังไม่ชัดเจน,ตอบคำถามได้ แต่ยังมีความสับสนหรือไม่ตรงประเด็นในบางคำถาม,ไม่สามารถตอบคำถามได้ หรือตอบไม่ตรงประเด็นอย่างสิ้นเชิง,
,,,,,
ส่วนที่ 2: การพัฒนาโมเดลและการทดลอง (50 คะแนน),,,,,
,,,,,
หัวข้อการประเมิน,ดีมาก (14-15),ดี (11-13),พอใช้ (8-10),ต้องปรับปรุง (0-7),คะแนนที่ได้
2.1 การจัดการข้อมูล (15 คะแนน),มีการรวบรวมและจัดเตรียมข้อมูล (Data Preprocessing) อย่างเป็นระบบ เหมาะสมกับปัญหาและโมเดลที่ใช้ มีการแบ่งข้อมูลที่ถูกต้องตามหลักการ รวมถึงมีการรวบรวมข้อมูลจากหลายๆ แหล่ง,การจัดเตรียมข้อมูลอยู่ในเกณฑ์ดี นำมาจากหลายแหล่ง แต่ปริมาณข้อมูลที่นำมาใช้ในการทดลองมีจำนวนน้อยซึ่งอาจจะทำให้โมเดลที่ได้มีประสิทธิภาพไม่ดีเท่าควร,การจัดเตรียมข้อมูลมีขั้นตอนพื้นฐานครบถ้วน  แต่มีการนำข้อมูลมาจากแหล่งเดียวเท่านั้น  โดยไม่ได้พิจารณาจำนวนของข้อมูล,การจัดการข้อมูลไม่เหมาะสม มีข้อผิดพลาด ส่งผลต่อประสิทธิภาพโมเดล,
2.2 การเปรียบเทียบประสิทธิภาพโมเดล (15 คะแนน),มีการเปรียบเทียบโมเดล/อัลกอริทึมอย่างน้อย 2 รูปแบบขึ้นไป พร้อมวิเคราะห์ผลและเลือกใช้โมเดลที่ดีที่สุดได้อย่างสมเหตุสมผล,มีการเปรียบเทียบโมเดล 2 รูปแบบ แต่แสดงผลการวิเคราะห์ไม่ครบถ้วนตามที่แจ้ง,มีการใช้โมเดลเพียงรูปแบบเดียว หรือมีการเปรียบเทียบแต่ไม่มีการวิเคราะห์ผล,ไม่มีการเปรียบเทียบโมเดล หรือเลือกใช้โมเดลที่ไม่เหมาะสมกับปัญหา,
,ดีมาก (17-20),ดี (13-16),พอใช้ (8-12),ต้องปรับปรุง (0-7),
2.3 การวัดผลและสรุปผล (20 คะแนน),"วัดผลด้วยค่าประสิทธิภาพครบถ้วน (Accuracy, Precision, Recall, F1) มี Learning Curve ที่ชัดเจน และสรุปผลการทดลองได้สมเหตุสมผล สอดคล้องกับวัตถุประสงค์",วัดผลด้วยค่าประสิทธิภาพครบถ้วน แต่ขาดการวิเคราะห์ Learning Curve หรือการสรุปผลยังไม่ชัดเจนนัก,มีการวัดผลแต่ไม่ครบถ้วน หรือการสรุปผลไม่สอดคล้องกับข้อมูลที่ได้จากการทดลอง,การวัดผลมีข้อผิดพลาด หรือไม่สามารถสรุปผลการทดลองที่น่าเชื่อถือได้,
,,,,,
ส่วนที่ 3: เว็บแอปพลิเคชันและการใช้งาน (20 คะแนน),,,,,
,,,,,
หัวข้อการประเมิน,ดีมาก (9-10),ดี (7-8),พอใช้ (5-6),ต้องปรับปรุง (0-4),คะแนนที่ได้
3.1 ฟังก์ชันการทำงาน (10 คะแนน),โปรแกรมทำงานได้ถูกต้อง ครบถ้วนตามวัตถุประสงค์ สามารถรับ Input และแสดงผลลัพธ์จากโมเดลได้อย่างสมบูรณ์ ไม่มีข้อผิดพลาด (Error),โปรแกรมทำงานได้ตามฟังก์ชันหลัก แต่อาจมีข้อผิดพลาดเล็กน้อยในบางกรณีการใช้งาน,โปรแกรมทำงานได้บางส่วน ขาดฟังก์ชันสำคัญ หรือมีข้อผิดพลาดที่ส่งผลต่อการใช้งาน,โปรแกรมไม่สามารถทำงานได้ หรือทำงานผิดพลาดอย่างรุนแรง,
3.2 การออกแบบ UX/UI (10 คะแนน),การออกแบบหน้าจอ (UI) สวยงาม น่าใช้ ทันสมัย ผู้ใช้สามารถเข้าใจและใช้งานได้ง่าย (UX) โดยไม่ต้องเรียนรู้ซับซ้อน มีการจัดวางองค์ประกอบที่ดี,การออกแบบ UI อยู่ในเกณฑ์มาตรฐาน ใช้งานได้ไม่สับสน แต่ยังไม่โดดเด่นหรือน่าดึงดูด,การออกแบบ UI พอใช้งานได้ แต่ผู้ใช้อาจต้องใช้เวลาเรียนรู้ หรือมีส่วนที่ทำให้สับสน,การออกแบบ UI ไม่ดี ใช้งานยากซับซ้อน ไม่สวยงาม และไม่เป็นมิตรต่อผู้ใช้,
,,,,รวมคะแนนทั้งหมด,0.00
,,,,คะแนนสุทธิ,0.00